      time,         vof [      0.9         0     0.125] - [      0.9         1     0.125],         vof [      1.4         0     0.125] - [      1.4         1     0.125],         vof [      1.9         0     0.125] - [      1.9         1     0.125],         vof [      2.5         0     0.125] - [      2.5         1     0.125],         vof [      3.5         0     0.125] - [      3.5         1     0.125],         vof [        5         0     0.125] - [        5         1     0.125],         vof [      6.7         0     0.125] - [      6.7         1     0.125],         vof [      8.4         0     0.125] - [      8.4         1     0.125],         vof [     10.2         0     0.125] - [     10.2         1     0.125]
6.6667e-02,                                                         4.755428326785042237e-01,                                                         4.824923142109963092e-01,                                                         4.841001862966747837e-01,                                                         4.821464207386331191e-01,                                                         4.570444633581296490e-01,                                                         4.729250744636586123e-01,                                                         4.677146495717248165e-01,                                                         4.654974427328956721e-01,                                                         4.542162442922214050e-01
1.0000e-01,                                                         4.756932546958337338e-01,                                                         4.822414059039451528e-01,                                                         4.836838662453252780e-01,                                                         4.814996366120236071e-01,                                                         4.576240941364845272e-01,                                                         4.732058568853071412e-01,                                                         4.680532559078850463e-01,                                                         4.651468166741954402e-01,                                                         4.545184230018399218e-01
1.3333e-01,                                                         4.757007345173914770e-01,                                                         4.821728896941702147e-01,                                                         4.832123293577709755e-01,                                                         4.807724290108454923e-01,                                                         4.582221357095527248e-01,                                                         4.735020450275334025e-01,                                                         4.684496614388907743e-01,                                                         4.647496459592878049e-01,                                                         4.547264250745247094e-01
2.0000e-01,                                                         4.762735984115931132e-01,                                                         4.820762484316258312e-01,                                                         4.822316574430640101e-01,                                                         4.796129453320538416e-01,                                                         4.597014571953008666e-01,                                                         4.742870997402400257e-01,                                                         4.694883245231580848e-01,                                                         4.640170184073998394e-01,                                                         4.551110674420761337e-01
2.6667e-01,                                                         4.764361060405679082e-01,                                                         4.824608741613632401e-01,                                                         4.809556689460576795e-01,                                                         4.783277256608929329e-01,                                                         4.610429892944032382e-01,                                                         4.749863666505443893e-01,                                                         4.703980869380063323e-01,                                                         4.630770779761544387e-01,                                                         4.554776102552616779e-01
3.0000e-01,                                                         4.764297389229183444e-01,                                                         4.825744793636858043e-01,                                                         4.803075501353111232e-01,                                                         4.777605013956607860e-01,                                                         4.616558176721631823e-01,                                                         4.752957464301659218e-01,                                                         4.708279946711798059e-01,                                                         4.625477547747666729e-01,                                                         4.556353317299838279e-01
3.3333e-01,                                                         4.765737051399360769e-01,                                                         4.827093502482605603e-01,                                                         4.798502696113580157e-01,                                                         4.773879097982006714e-01,                                                         4.623918971091995345e-01,                                                         4.756477124997212091e-01,                                                         4.712597259141144690e-01,                                                         4.620303851761372593e-01,                                                         4.556680302356675982e-01
4.0000e-01,                                                         4.763350989126300949e-01,                                                         4.833041757165112973e-01,                                                         4.787794994558149941e-01,                                                         4.767462975493715893e-01,                                                         4.636791637109901054e-01,                                                         4.762821914555617209e-01,                                                         4.720167570657927136e-01,                                                         4.610775899126031141e-01,                                                         4.563567052101981103e-01
4.6667e-01,                                                         4.755123811720526894e-01,                                                         4.838302313894166651e-01,                                                         4.780866685507681457e-01,                                                         4.764362545323254650e-01,                                                         4.649681485000756731e-01,                                                         4.768876515310589981e-01,                                                         4.726610453632837938e-01,                                                         4.602459866613654027e-01,                                                         4.573074024926218062e-01
5.3333e-01,                                                         4.761478661183913275e-01,                                                         4.840538108203517598e-01,                                                         4.772570376602132125e-01,                                                         4.760344959789705732e-01,                                                         4.659755706687723209e-01,                                                         4.772847105270286439e-01,                                                         4.730724063785360922e-01,                                                         4.593738872102511861e-01,                                                         4.581796166065232878e-01
5.6667e-01,                                                         4.762759518118828139e-01,                                                         4.841081368303255528e-01,                                                         4.768491883760131445e-01,                                                         4.758753415423452315e-01,                                                         4.664024265497870858e-01,                                                         4.774046891661593572e-01,                                                         4.732091416094297287e-01,                                                         4.588873735561539990e-01,                                                         4.587476662455401977e-01
6.0000e-01,                                                         4.765000929286455911e-01,                                                         4.842800984377813034e-01,                                                         4.765745985430941967e-01,                                                         4.758364235974344991e-01,                                                         4.668914646649089950e-01,                                                         4.775419809527755577e-01,                                                         4.733464561385944402e-01,                                                         4.584719243383091336e-01,                                                         4.593050590576759351e-01
6.6667e-01,                                                         4.768237335866241655e-01,                                                         4.843730206584229148e-01,                                                         4.759407443188989895e-01,                                                         4.757976533088722482e-01,                                                         4.676099569751608898e-01,                                                         4.776842353787426609e-01,                                                         4.734857431718977883e-01,                                                         4.579119403590755644e-01,                                                         4.604399507699755700e-01
7.0000e-01,                                                         4.769587139110145202e-01,                                                         4.844130997822121976e-01,                                                         4.756584875987864280e-01,                                                         4.757499568189692551e-01,                                                         4.679143406745593925e-01,                                                         4.776807768247502417e-01,                                                         4.734837325749866044e-01,                                                         4.575781458638847332e-01,                                                         4.607069058635204217e-01
7.3333e-01,                                                         4.770560204119386194e-01,                                                         4.844349561451101738e-01,                                                         4.753535510549459220e-01,                                                         4.757369105630110395e-01,                                                         4.681725686837107103e-01,                                                         4.776357179721416601e-01,                                                         4.734389810879571781e-01,                                                         4.572352480248492723e-01,                                                         4.612093024634364435e-01
8.0000e-01,                                                         4.772483039506439928e-01,                                                         4.847464569878404128e-01,                                                         4.752006646126104572e-01,                                                         4.760265640389662600e-01,                                                         4.688118791476301728e-01,                                                         4.776017799114355422e-01,                                                         4.733573203255221351e-01,                                                         4.569760970123128985e-01,                                                         4.619656817621718425e-01
8.3333e-01,                                                         4.774372747572562248e-01,                                                         4.847968409951993740e-01,                                                         4.750024839166738233e-01,                                                         4.760792639685562655e-01,                                                         4.690026014859902115e-01,                                                         4.774763620399729569e-01,                                                         4.732456941795084027e-01,                                                         4.568038771836194778e-01,                                                         4.622705077096178616e-01
8.6667e-01,                                                         4.775449340458932102e-01,                                                         4.848341340809694255e-01,                                                         4.748165550526769474e-01,                                                         4.760700178054078080e-01,                                                         4.691917415588325868e-01,                                                         4.773406978325900329e-01,                                                         4.731330036863495847e-01,                                                         4.566691190942436251e-01,                                                         4.625642176320962085e-01
9.3333e-01,                                                         4.778271994816098989e-01,                                                         4.849050100227181304e-01,                                                         4.746057186691597929e-01,                                                         4.762563069372471869e-01,                                                         4.695560761298510077e-01,                                                         4.770801192621491049e-01,                                                         4.729137264944470176e-01,                                                         4.567581082588682007e-01,                                                         4.628377349038112487e-01
9.6667e-01,                                                         4.779473931227549710e-01,                                                         4.849985729070365736e-01,                                                         4.745342197659362937e-01,                                                         4.763705220125656337e-01,                                                         4.697174087971197620e-01,                                                         4.768958119127448825e-01,                                                         4.727523053696685018e-01,                                                         4.567273090106996891e-01,                                                         4.630680413274463336e-01
1.0000e+00,                                                         4.780424945053173280e-01,                                                         4.850419766934058741e-01,                                                         4.744361856317831361e-01,                                                         4.763866487865637267e-01,                                                         4.698594254631490164e-01,                                                         4.767046107958149981e-01,                                                         4.726043339956923495e-01,                                                         4.567265205018530838e-01,                                                         4.632244638768405198e-01
1.0667e+00,                                                         4.782330376729444499e-01,                                                         4.852241893633256198e-01,                                                         4.743817565187589125e-01,                                                         4.765406677290266457e-01,                                                         4.701287112484862085e-01,                                                         4.763684048801177795e-01,                                                         4.723617479519710005e-01,                                                         4.570594248753152566e-01,                                                         4.635076883353630439e-01
1.1333e+00,                                                         4.782740198222385497e-01,                                                         4.855278330052096303e-01,                                                         4.745803430880069507e-01,                                                         4.767817344380835820e-01,                                                         4.704513651305685662e-01,                                                         4.760386897000018491e-01,                                                         4.720941791075128346e-01,                                                         4.574270254649461243e-01,                                                         4.636418082801966323e-01
